Cluster #,Query,Intent,Cluster Size,Cluster Summary
1,"147                add milk shopping list
168     remove milk add egg shopping list
201      place order entire shopping list
220                    know shopping list
236               currently shopping list
240    soda nt shopping list go ahead add
251            please put dust list thing
271               please note vacuum list
292        put grocery shopping todo list
316                    tell shopping list
331                          get rid list
338                                  list
361                  take everything list
376                              buy list
397                    empty content list
424         clean bathroom item todo list
487             iterate item grocery list
497              shopping list remove egg
","147    b'shopping_list_update'
168    b'shopping_list_update'
201                   b'order'
220           b'shopping_list'
236           b'shopping_list'
240    b'shopping_list_update'
251        b'todo_list_update'
271        b'todo_list_update'
292               b'todo_list'
316           b'shopping_list'
331        b'todo_list_update'
338               b'todo_list'
361        b'todo_list_update'
376           b'shopping_list'
397        b'todo_list_update'
424               b'todo_list'
487           b'shopping_list'
497    b'shopping_list_update'
",18,list * shopping
2,"17               clue taco bell take reservation
19                      idea central reservation
66             confirm john reservation applebee
84                        nt reservation anymore
89             cancel reservation dinner tonight
92                   take reservation applebeesi
159    tell new york restaurant take reservation
161    cancel reservation dinner saturday please
204      go ahead cancel reservation 5 red robin
212                          bj take reservation
239                          reservation anymore
318                           cancel reservation
370                          bj take reservation
416                 know larpege ask reservation
437       wish cancel reservation fred red robin
480                    idea fly wing reservation
","17     b'accept_reservations'
19     b'accept_reservations'
66     b'confirm_reservation'
84      b'cancel_reservation'
89      b'cancel_reservation'
92     b'accept_reservations'
159    b'accept_reservations'
161     b'cancel_reservation'
204     b'cancel_reservation'
212    b'accept_reservations'
239     b'cancel_reservation'
318     b'cancel_reservation'
370    b'accept_reservations'
416    b'accept_reservations'
437     b'cancel_reservation'
480    b'accept_reservations'
",16,reservation * take
3,"30                                        account frozen
76                         order check bank west account
81               like change name first bankcard account
128                        chase account order checkbook
131                         problem account appear block
150                                   check account work
158                                    bank account lock
167                         make 1234 pin saving account
169                      tell saving account rout number
226                           ca nt access chase account
259                                        account block
265                     order check bank america account
283                                         account lock
307                     reason u bank place hold account
358                  chase account option direct deposit
360    transfer ninety dollar glacier checking farmer...
","30      b'freeze_account'
76        b'order_checks'
81          b'pin_change'
128       b'order_checks'
131    b'account_blocked'
150    b'account_blocked'
158    b'account_blocked'
167         b'pin_change'
169            b'routing'
226    b'account_blocked'
259    b'account_blocked'
265       b'order_checks'
283     b'freeze_account'
307    b'account_blocked'
358     b'direct_deposit'
360           b'transfer'
",16,account * bank
4,"42             get credit limit increase 1000
52                                 get credit
59                  prevent credit score drop
80              put request cash credit point
134                         tell credit score
173     step take ensure credit score nt drop
243                      credit score improve
247    increase credit limit capital one card
250                     discover credit limit
278                       locate credit score
286                credit limit increase 1000
431                   request new credit card
438                                credit max
439              know build good credit score
470                   credit score numberwise
","42           b'credit_limit_change'
52           b'credit_limit_change'
59          b'improve_credit_score'
80                b'redeem_rewards'
134                 b'credit_score'
173         b'improve_credit_score'
243         b'improve_credit_score'
247          b'credit_limit_change'
250                 b'credit_limit'
278                 b'credit_score'
286          b'credit_limit_change'
431    b'replacement_card_duration'
438                 b'credit_limit'
439         b'improve_credit_score'
470                 b'credit_score'
",15,credit * score
5,"6                         step get reward visa card
13          much spend bank card sine last pay bill
41                  date expiration first bank card
114          wan na know credit card reward balance
268                          get reward master card
312                 know credit card reward balance
335                     tell apr target credit card
366                          tell apply credit card
389              annual percentage rate credit card
400    know next billing date american express card
434                     nt remember pin number card
445                     expiration date credit card
465                   like check reward credit card
484                       wo nt let pay credit card
490                            card expiration date
","6       b'redeem_rewards'
13        b'transactions'
41     b'expiration_date'
114    b'rewards_balance'
268     b'redeem_rewards'
312    b'rewards_balance'
335                b'apr'
366           b'new_card'
389                b'apr'
400           b'bill_due'
434         b'pin_change'
445    b'expiration_date'
465    b'rewards_balance'
484      b'card_declined'
490    b'expiration_date'
",15,card * credit
6,"31                                late pay cellular bill
190                        minimum must pay verizon bill
199                                phone bill last month
213                                  tell water bill due
339                               know pay electric bill
364                        must pay minimum verizon bill
414                            current billing cycle end
429                              today electric bill pay
447                                             bill due
456                                due date comcast bill
463    use navy federal account pay month verizon bil...
482                                        help pay bill
","31         b'bill_due'
190     b'min_payment'
199    b'bill_balance'
213        b'bill_due'
339        b'pay_bill'
364     b'min_payment'
414        b'bill_due'
429        b'pay_bill'
447        b'bill_due'
456        b'bill_due'
463        b'pay_bill'
482        b'pay_bill'
",12,bill * pay
7,"120                  tell lose card
180              report damage card
234             replace damage card
279    cost anything use card turin
319           fee use card portland
378             ca nt use card mess
384                 get reject card
392         replaecment card arrive
393                report lost card
435    credit card get torn new one
477                    card decline
","120             b'report_lost_card'
180                 b'damaged_card'
234                 b'damaged_card'
279           b'international_fees'
319           b'international_fees'
378                 b'damaged_card'
384                b'card_declined'
392    b'replacement_card_duration'
393             b'report_lost_card'
435                 b'damaged_card'
477                b'card_declined'
",11,card * use
8,"18                  saving account interest
49                   interest rate get nfcu
58         interest rate get sunflower bank
124      state bank india card credit limit
127              interest rate bofi give cd
162              spending limit lloyds card
258                      pnc routing number
305                        bank rout number
382             check account interest rate
489    numerical number inside bank account
","18     b'interest_rate'
49     b'interest_rate'
58     b'interest_rate'
124     b'credit_limit'
127    b'interest_rate'
162     b'credit_limit'
258          b'routing'
305          b'routing'
382    b'interest_rate'
489          b'balance'
",10,interest * rate
9,"36     call different name please
132             change name clara
138                     tell name
229     name person group program
254                     know name
285                    rename joe
296                 name type pet
315                     call name
365                     tell name
375                          name
","36     b'change_user_name'
132      b'change_ai_name'
138           b'user_name'
229        b'who_made_you'
254           b'user_name'
285      b'change_ai_name'
296    b'do_you_have_pets'
315           b'user_name'
365           b'user_name'
375           b'user_name'
",10,name * call
10,"0                  know change insurance policy
11                       know get new insurance
28                             tell health plan
68                           new insurance plan
69     phone number state farm change insurance
72                   tell full name health plan
394                       switch insurance plan
473                         know insurance plan
483                       switch insurance plan
","0      b'insurance_change'
11     b'insurance_change'
28            b'insurance'
68     b'insurance_change'
69     b'insurance_change'
72            b'insurance'
394    b'insurance_change'
473           b'insurance'
483    b'insurance_change'
",9,insurance * plan
