,cluster,text,intent,norm_text,cluster_size,norm_word_lst
0,101,b'do you know how i can change my insurance policy',b'insurance_change',b'know change insurance policy',20,insurance * new
1,101,b'do you know how i get new insurance',b'insurance_change',b'know new insurance',20,insurance * new
2,101,b'i want a new insurance plan',b'insurance_change',b'want new insurance plan',20,insurance * new
3,101,b'phone number to state farm to change insurance',b'insurance_change',b'phone number state farm change insurance',20,insurance * new
4,101,b'how do i switch insurance plans',b'insurance_change',b'switch insurance plans',20,insurance * new
5,101,b'what if i want to switch insurance plans',b'insurance_change',b'want switch insurance plans',20,insurance * new
6,101,b'let me know the process for new insurance',b'insurance_change',b'let know process new insurance',20,insurance * new
7,101,b'i want to sign up for a new allstate insurance plan',b'insurance_change',b'want sign new allstate insurance plan',20,insurance * new
8,101,b'how do i sign up for a new allstatedplan',b'insurance_change',b'sign new allstatedplan',20,insurance * new
9,101,b'i need to sign up for a new allstate plan',b'insurance_change',b'need sign new allstate plan',20,insurance * new
10,101,b'who do i contact about updating my insurance',b'insurance_change',b'contact updating insurance',20,insurance * new
11,101,b'is there a way to get a new insurance plan',b'insurance_change',b'way new insurance plan',20,insurance * new
12,101,b'help me find a new insurance plan',b'insurance_change',b'help find new insurance plan',20,insurance * new
13,101,b'i want to change to a new allstate insurance plan',b'insurance_change',b'want change new allstate insurance plan',20,insurance * new
14,101,b'what are the steps to change my insurance policy',b'insurance_change',b'steps change insurance policy',20,insurance * new
15,101,b'i am interested in a new insurance plan',b'insurance_change',b'interested new insurance plan',20,insurance * new
16,101,b'i really would like to get a new insurance plan',b'insurance_change',b'like new insurance plan',20,insurance * new
17,101,b'what is the protocol for getting new insurance',b'insurance_change',b'protocol getting new insurance',20,insurance * new
18,101,b'can i update my insurance policy',b'insurance_change',b'update insurance policy',20,insurance * new
19,101,b'can you help me change my insurance policy',b'insurance_change',b'help change insurance policy',20,insurance * new
20,57,b'would you provide me with what the point of life is',b'meaning_of_life',b'provide point life ',11,meaning * life
21,57,b'what information can you give me on the meaning of life',b'meaning_of_life',b'information meaning life',11,meaning * life
22,57,b'is there any consensun regarding lifes true meaning',b'meaning_of_life',b'consensun lifes true meaning',11,meaning * life
23,57,b'do you think our lives have purpose or meaning',b'meaning_of_life',b'think lives purpose meaning',11,meaning * life
24,57,b'what do you know about the meaning of life',b'meaning_of_life',b'know meaning life',11,meaning * life
25,57,b'tell me what the meaning of life is',b'meaning_of_life',b'tell meaning life ',11,meaning * life
26,57,b'i need to know what the meaning of life is now',b'meaning_of_life',b'need know meaning life ',11,meaning * life
27,57,b'i would like information on the meaning of life',b'meaning_of_life',b'like information meaning life',11,meaning * life
28,57,b'is there a reason beyond biology about why humans are alive',b'meaning_of_life',b'reason biology humans alive',11,meaning * life
29,57,b'i need you to tell me the meaning of life',b'meaning_of_life',b'need tell meaning life',11,meaning * life
30,57,b'is there meaning in life',b'meaning_of_life',b'meaning life',11,meaning * life
31,91,b'my tires are filled enough or no',b'tire_pressure',b'tires filled ',27,tires * pressure
32,91,b'how often should i get my tires changed',b'tire_change',b'tires changed',27,tires * pressure
33,91,b'when is my car due for an tire change',b'tire_change',b'car tire change',27,tires * pressure
34,91,"b""i wanna know my car 's tire pressure""",b'tire_pressure',b'wanna know car s tire pressure',27,tires * pressure
35,91,b'what is the level of air pressure of my tires',b'tire_pressure',b'level air pressure tires',27,tires * pressure
36,91,"b""please tell me my car 's tire pressure""",b'tire_pressure',b'tell car s tire pressure',27,tires * pressure
37,91,b'i shall know how low are my tires on air',b'tire_pressure',b'shall know low tires air',27,tires * pressure
38,91,b'where can i go to have my tires checked out',b'schedule_maintenance',b'tires checked ',27,tires * pressure
39,91,b'is there enough air in my tires',b'tire_pressure',b'air tires',27,tires * pressure
40,91,b'how can i find out what my tire pressure is',b'tire_pressure',b'find tire pressure ',27,tires * pressure
41,91,b'my tires need how much more air in them',b'tire_pressure',b'tires need air ',27,tires * pressure
42,91,b'when will my tires need to be changed',b'tire_change',b'tires need changed',27,tires * pressure
43,91,b'how low are my tires right now on air',b'tire_pressure',b'low tires right air',27,tires * pressure
44,91,b'can you tell me when my tires have to be changed',b'tire_change',b'tell tires changed',27,tires * pressure
45,91,b'how long are my tires expected to last before needing to be replaced',b'tire_change',b'long tires expected needing replaced',27,tires * pressure
46,91,b'i gotta know how low are my tires on air',b'tire_pressure',b'gotta know low tires air',27,tires * pressure
47,91,b'i must kniw how low are my tires on air',b'tire_pressure',b'kniw low tires air',27,tires * pressure
48,91,b'do my tires have enough pressure',b'tire_pressure',b'tires pressure',27,tires * pressure
49,91,b'when is the next time i should get my tires changed',b'tire_change',b'time tires changed',27,tires * pressure
50,91,b'what is the pressure of my tires',b'tire_pressure',b'pressure tires',27,tires * pressure
51,91,"b""what 's the tire pressure of my tires""",b'tire_pressure',b's tire pressure tires',27,tires * pressure
52,91,b'when is it time for a change in tires',b'tire_change',b'time change tires',27,tires * pressure
53,91,b'how many miles are my tires rated for',b'tire_change',b'miles tires rated ',27,tires * pressure
54,91,b'do you know when i should get my tires changed next',b'tire_change',b'know tires changed ',27,tires * pressure
55,91,b'tell me when to get my tires changed',b'tire_change',b'tell tires changed',27,tires * pressure
56,91,b'give me the tire pressure for the car',b'tire_pressure',b'tire pressure car',27,tires * pressure
57,91,b'how often should my tires be changed',b'tire_change',b'tires changed',27,tires * pressure
58,9,b'how come i got declined',b'card_declined',b'come got declined',57,card * lost
59,9,b'my capital one visa was taken without permission',b'report_lost_card',b'capital visa taken permission',57,card * lost
60,9,b'i need to tell you about my lost card',b'report_lost_card',b'need tell lost card',57,card * lost
61,9,b'i want to report a damaged card',b'damaged_card',b'want report damaged card',57,card * lost
62,9,b'how do i replace a damaged card',b'damaged_card',b'replace damaged card',57,card * lost
63,9,"b""i ca n't use my card because it s messed up""",b'damaged_card',b'nt use card s messed ',57,card * lost
64,9,b'why did i get rejected on my card',b'card_declined',b'rejected card',57,card * lost
65,9,b'when will the replaecment card arrive',b'replacement_card_duration',b'replaecment card arrive',57,card * lost
66,9,b'can you report a lost card for me',b'report_lost_card',b'report lost card ',57,card * lost
67,9,b'my credit card got torn and i need a new one',b'damaged_card',b'credit card got torn need new ',57,card * lost
68,9,b'my card declined',b'card_declined',b'card declined',57,card * lost
69,9,b'please tell me how to go about reporting a lost card',b'report_lost_card',b'tell reporting lost card',57,card * lost
70,9,b'i need to know the time it takes to get a new credit card sent to someone who lost theirs',b'replacement_card_duration',b'need know time takes new credit card sent lost theirs',57,card * lost
71,9,"b""i'm unable to use my card because it 's been ruined""",b'damaged_card',b'im unable use card s ruined',57,card * lost
72,9,"b""i ca n't use my card because i damaged it""",b'damaged_card',b'nt use card damaged ',57,card * lost
73,9,b'what is the process for reporting my card as lost',b'report_lost_card',b'process reporting card lost',57,card * lost
74,9,b'how do i report my very lost card',b'report_lost_card',b'report lost card',57,card * lost
75,9,b'why was my card not working at target',b'card_declined',b'card working target',57,card * lost
76,9,b'i was in australia trying to buy chips and my cards got declined',b'card_declined',b'australia trying buy chips cards got declined',57,card * lost
77,9,b'what is amount of time it takes to get a new credit card i lost mine recently',b'replacement_card_duration',b'time takes new credit card lost recently',57,card * lost
78,9,b'i need to replace a card that my daughter spilled juice on',b'damaged_card',b'need replace card daughter spilled juice ',57,card * lost
79,9,b'can you tell me how to report a card lost',b'report_lost_card',b'tell report card lost',57,card * lost
80,9,b'how much longer before the card is mailed to me',b'replacement_card_duration',b'longer card mailed ',57,card * lost
81,9,"b""my credit card was turned down at target and i 'd like to know why""",b'card_declined',b'credit card turned target d like know ',57,card * lost
82,9,b'time to replace my credit card',b'replacement_card_duration',b'time replace credit card',57,card * lost
83,9,b'do you know why my card got declined',b'card_declined',b'know card got declined',57,card * lost
84,9,b'how long does it take to get a new credit card',b'replacement_card_duration',b'long new credit card',57,card * lost
